Provinsi,Tahun,Konsumsi Listrik (Gwh),Jumlah Penduduk (Ribu),PDRB
Aceh,2017,2409.11,5189.5,145806.92
Sumatera Utara,2017,9671.48,14262.1,684634.43
Sumatera Barat,2017,3415.29,5321.5,213893.47
Riau,2017,4069.93,6657.9,704705.03
Jambi,2017,1176.09,3515,189787.72
Sumatera Selatan,2017,5239.35,8267,382885.7
Bengkulu,2017,852.84,1934.3,60657.68
Lampung,2017,3998.3,8289.6,306700.43
Kepulauan Bangka Belitung,2017,979.19,1430.9,69865.21
Kepulauan Riau,2017,2823.17,2082.7,227706.88
DKI Jakarta,2017,31643.13,10374.2,2365353.86
Jawa Barat,2017,50791.2,48037.6,1788117.36
Jawa Tengah,2017,21057.04,34257.9,1172794.52
DI Yogyakarta,2017,2724.49,3762.2,119128.72
Jawa Timur,2017,34114.16,39293,2012917.99
Banten,2017,22557.53,12448.2,563597.7
Bali,2017,5069.64,4246.5,213035.86
Nusa Tenggara Barat,2017,1677.54,4955.6,123822.76
Nusa Tenggara Timur,2017,855.25,5287.3,90758.93
Kalimantan Barat,2017,2252.06,4932.5,177493.65
Kalimantan Tengah,2017,1134.95,2605.3,125817.07
Kalimantan Selatan,2017,2391.87,4119.8,159104.56
Kalimantan Timur,2017,3418.33,3575.4,591903.49
Kalimantan Utara,2017,180.59,691.1,76927.57
Sulawesi Utara,2017,1544.87,2461,110116.73
Sulawesi Tengah,2017,1068.79,2966.3,133951.16
Sulawesi Selatan,2017,5172.5,8690.3,415588.2
Sulawesi Tenggara,2017,850.7,2602.4,107423.45
Gorontalo,2017,460.13,1168.2,34537.68
Sulawesi Barat,2017,312.89,1331,39497.41
Maluku,2017,463.05,1744.7,39881.55
Maluku Utara,2017,237.12,1209.3,32272.57
Papua Barat,2017,533.47,915.4,71785.93
Papua,2017,868.01,3265.2,188938.08
Aceh,2018,2587.71,5281.3,155910.98
Sumatera Utara,2018,10445.02,14415.4,741347.43
Sumatera Barat,2018,3496.18,5382.1,230367.22
Riau,2018,4377.21,6814.9,752263.07
Jambi,2018,1219.01,3570.3,207878.69
Sumatera Selatan,2018,5501.26,8370.3,419392.16
Bengkulu,2018,907.45,1963.3,66402.99
Lampung,2018,4257.15,8370.5,332446.07
Kepulauan Bangka Belitung,2018,1066.35,1459.9,73113.28
Kepulauan Riau,2018,2990.44,2136.5,248822.23
DKI Jakarta,2018,32779.19,10467.6,2592606.57
Jawa Barat,2018,52878.86,48683.7,1960627.65
Jawa Tengah,2018,23558.02,34490.8,1268261.17
DI Yogyakarta,2018,2856.95,3802.9,129818.36
Jawa Timur,2018,35817.9,39500.9,2188766.35
Banten,2018,23736.3,12689.7,613804.41
Bali,2018,5247.16,4292.2,233636.77
Nusa Tenggara Barat,2018,1776.81,5013.7,123868.02
Nusa Tenggara Timur,2018,927.41,5371.5,98930.19
Kalimantan Barat,2018,2373.12,5001.7,194138.22
Kalimantan Tengah,2018,1223.79,2660.2,138616.13
Kalimantan Selatan,2018,2602.39,4182.7,171684.06
Kalimantan Timur,2018,3637.27,3648.8,635498.68
Kalimantan Utara,2018,183.32,716.4,85548.94
Sulawesi Utara,2018,1676.89,2484.4,119512.68
Sulawesi Tengah,2018,1171.08,3010.4,167135.77
Sulawesi Selatan,2018,5472.48,8772,461774.74
Sulawesi Tenggara,2018,911.73,2653.7,118066.61
Gorontalo,2018,503.49,1185.5,37731.39
Sulawesi Barat,2018,345.28,1355.6,43457.83
Maluku,2018,597.37,1773.8,43047.09
Maluku Utara,2018,401.48,1232.6,36468.79
Papua Barat,2018,569.02,937.5,79644.58
Papua,2018,916.96,3322.5,210600.57
Aceh,2019,2781.5,5371.5,164162.98
Sumatera Utara,2019,8324.86,14562.5,799608.95
Sumatera Barat,2019,3445.08,5441.2,245949.74
Riau,2019,4646.79,6971.7,760247.51
Jambi,2019,1932,3624.6,216927.71
Sumatera Selatan,2019,5258.23,8470.7,453402.71
Bengkulu,2019,955.47,1991.8,72098.24
Lampung,2019,4686.09,8447.7,356676.83
Kepulauan Bangka Belitung,2019,1166.93,1488.8,75794.96
Kepulauan Riau,2019,3346.31,2189.7,267631.48
DKI Jakarta,2019,34107.88,10557.8,2815636.16
Jawa Barat,2019,54480.28,49316.7,2123153.71
Jawa Tengah,2019,24750.62,34718.2,1360960.13
DI Yogyakarta,2019,2856.95,3842.9,141047.69
Jawa Timur,2019,37228.94,39698.6,2345548.55
Banten,2019,24646.11,12927.3,661321.34
Bali,2019,5706.73,4336.9,251934.1
Nusa Tenggara Barat,2019,1950.25,5070.4,132500.1
Nusa Tenggara Timur,2019,999.49,5456.2,106731.76
Kalimantan Barat,2019,2572.69,5069.1,212150.33
Kalimantan Tengah,2019,1358.77,2714.9,150046.1
Kalimantan Selatan,2019,2819.16,4244.1,180557.64
Kalimantan Timur,2019,3952.88,3721.4,652480.26
Kalimantan Utara,2019,264.55,742.2,96509.93
Sulawesi Utara,2019,1787.87,2507,130126.51
Sulawesi Tengah,2019,1146.23,3054,185740.09
Sulawesi Selatan,2019,5945.56,8851.2,504320.73
Sulawesi Tenggara,2019,986.89,2704.7,129225.15
Gorontalo,2019,543.84,1202.6,41145.45
Sulawesi Barat,2019,380.08,1380.3,46365.79
Maluku,2019,519.13,1802.9,46152.82
Maluku Utara,2019,537.52,1255.8,39695.49
Papua Barat,2019,510.01,959.6,84356.97
Papua,2019,1057.65,3379.3,189510.7
Aceh,2020,2937.99,5274.9,166372.32
Sumatera Utara,2020,11192.85,14799.4,811188.31
Sumatera Barat,2020,3429.29,5534.5,241894.13
Riau,2020,4967.05,6394.1,727599.47
Jambi,2020,2010.6,3548.2,205081.99
Sumatera Selatan,2020,5312.77,8467.4,454607.4
Bengkulu,2020,1013.5,2010.7,73305.27
Lampung,2020,4959.02,9007.8,353025.09
Kepulauan Bangka Belitung,2020,1217.52,1455.7,75519.77
Kepulauan Riau,2020,887.6,2064.6,254095.35
DKI Jakarta,2020,32166.72,10562.1,2767273.49
Jawa Barat,2020,49542.25,48274.2,2082107.26
Jawa Tengah,2020,25090.74,36516,1347222.49
DI Yogyakarta,2020,3012.45,3668.7,138117.84
Jawa Timur,2020,37613.55,40665.7,2299807.64
Banten,2020,22268.71,11904.6,625895.38
Bali,2020,4946.86,4317.4,224225.72
Nusa Tenggara Barat,2020,2149.42,5320.1,133613.74
Nusa Tenggara Timur,2020,1133.48,5325.6,106482.45
Kalimantan Barat,2020,2715.67,5414.4,213950.35
Kalimantan Tengah,2020,1493.69,2670,152187.39
Kalimantan Selatan,2020,2939,4073.6,179162.02
Kalimantan Timur,2020,4123.86,3766,607744.49
Kalimantan Utara,2020,261.82,701.8,100423.21
Sulawesi Utara,2020,1862.28,2621.9,132230.06
Sulawesi Tengah,2020,1271.06,2985.7,197440.78
Sulawesi Selatan,2020,5977.48,9073.5,504052.53
Sulawesi Tenggara,2020,1063.52,2624.9,130107.27
Gorontalo,2020,601.58,1171.7,41729.89
Sulawesi Barat,2020,423.96,1419.2,46465.91
Maluku,2020,548.12,1848.9,46263.47
Maluku Utara,2020,591.34,1282.9,42298.87
Papua Barat,2020,547.46,1134.1,83588.64
Papua,2020,1132.4,4303.7,199186.57
Aceh,2021,3074.47,5333.7,184979.88
Sumatera Utara,2021,11748.4,14936.2,859934.26
Sumatera Barat,2021,3646.2,5580.2,253100.2
Riau,2021,6108.32,6493.6,839002.41
Jambi,2021,2111.92,3585.1,232294.15
Sumatera Selatan,2021,5593.93,8550.9,493636.85
Bengkulu,2021,1058.61,2032.9,79602.64
Lampung,2021,5176.94,9081.8,371198.88
Kepulauan Bangka Belitung,2021,1369.2,1473.2,85961.29
Kepulauan Riau,2021,3478.63,2118.2,275622.85
DKI Jakarta,2021,32709.3,10609.7,2912885.34
Jawa Barat,2021,53318.02,48782.4,2204660.23
Jawa Tengah,2021,26661.16,36742.5,1419735.15
DI Yogyakarta,2021,3108.38,3712.9,149413.65
Jawa Timur,2021,39457.19,40878.8,2454792
Banten,2021,23830.91,12061.5,665870.3
Bali,2021,4708.02,4362.7,220466.43
Nusa Tenggara Barat,2021,2290.19,5390,140115.27
Nusa Tenggara Timur,2021,1160.16,5387.7,110881.41
Kalimantan Barat,2021,2912.98,5470.8,231321.16
Kalimantan Tengah,2021,1597.89,2702.2,169655.94
Kalimantan Selatan,2021,3050.71,4122.6,197882.42
Kalimantan Timur,2021,4117.44,3808.2,696632.67
Kalimantan Utara,2021,184.5,713.6,111530.22
Sulawesi Utara,2021,1940.26,2638.6,142620.42
Sulawesi Tengah,2021,1353.85,3021.9,247280.35
Sulawesi Selatan,2021,6597.87,9139.5,544857.14
Sulawesi Tenggara,2021,1149.84,2659.2,139476.77
Gorontalo,2021,638.71,1181,43893.26
Sulawesi Barat,2021,439.49,1436.8,50565.53
Maluku,2021,582.88,1862.6,48893.68
Maluku Utara,2021,637.04,1299.2,52480.52
Papua Barat,2021,583.21,1156.8,85078.49
Papua,2021,1237.64,4355.4,235487.47
Aceh,2022,3154.01,5407.9,209698.36
